product_title,product_category,rating,review_count,units_sold,sale_price,list_price,discount_pct,is_best_seller_flag,has_coupon_flag,is_sponsored,is_available,best_seller_detail,coupon_detail,sustainability_detail,delivery_date,collected_at
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:37:25.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:37:40.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:37:50.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:38:03.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:38:15.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:38:26.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:38:40.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:38:50.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:39:04.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:39:14.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:39:27.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:39:38.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:39:49.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:39:59.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:40:13.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:40:25.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:40:36.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:40:46.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:40:58.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:41:09.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:41:19.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:41:33.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:41:44.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:41:56.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:42:08.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:42:22.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:42:36.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:42:46.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:42:58.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:43:12.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:43:24.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:43:38.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:43:48.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:44:02.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:44:16.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:44:27.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:44:38.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:44:49.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:45:03.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:45:13.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:45:26.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:45:37.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:45:50.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:46:02.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:46:15.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:46:27.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:46:38.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:46:50.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:47:04.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:47:16.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:47:27.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:47:41.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:47:55.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:48:07.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:48:21.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:48:35.000000 UTC
"ASUS ProArt Display 32” 4K HDR QD-OLED Professional Monitor (PA32UCDM) - UHD, Ultra-Slim, 240Hz, 0.1ms, Auto Calibration, Dolby Vision, 99% DCI-P3, ΔE<1, Thunderbolt 4, Calman Ready, 3 yr Warranty",Laptops,2.0,2,50,1899.0,1899.0,0.0,false,false,false,true,No Badge,No Coupon,None,2025-09-04,2025-08-27 07:48:47.000000 UTC
